id	text	score
0	because	1
1	Fruit flies evolve faster because idk	1
2	I can't explain myself.	1
3	i chose	1
4	i do not	1
5	i dont know	1
6	i dont know	1
7	i just gesst	1
8	idk	1
9	It just makes sense	1
10	NEITHER!	1
11	They reproduce faster.	1
12	Because they have more times to evolve than the elephants do.	2
13	Fruit flies, because their generations pass much faster.	2
14	1000 generations of selective pressure is what it takes to evolve, if there is no selective pressure, the elephant might evolve quicker, say they had selective pressure.	2
15	36 times a year is faster than once every five times a year.	2
16	36 times a year thats much more than once 5 years.	2
17	According to theory, the elephants will evolve faster, because they will die first, and give theirselves a chance to evolve.	2
18	an elephant can gather alot more traits in 5 years.	2
19	beause there smaller	2
20	becau2se fruit flies die a lot and not that meany elephants die	2
21	because 36 is more than five years it takes longer	2
22	because 36 more than 5.	2
23	because different things can evolve with the fruit fly	2
24	Because elephants are heavier and cant move so much and can't bend down but fruit flies can just sit on fruits and eat	2
25	Because Elephants have been around for so long I don't think that they will be evolvinvg any time soon.	2
26	Because elephants only have kids every 5 years and the Fruit Fly lives for 24 hours and reproduces in that time.	2
27	because elephants take longer and evolution has longer time to evolve but on the other hand fruit flies reproduce very quickly and would not be able to reproduce.	2
28	Because evolution occurs over the generations, so if a fruit fly has small wings but it needs to be able to fly faster, then it's offspring might have larger wings.	2
29	because fruit flies 36 times and theres only 1 elephant every 5 years	2
30	because fruit flies are thaking all the pallen	2
31	because fruit flies are skinnyer and faster while elepants are slower	2
32	because fruit flies are smaller and easier	2
33	because fruit flies are smaller and easyer to evolve	2
34	because fruit flies have a higher chance of dieng when they are born cause predators can eat the as a elephants parents protect it.	2
35	Because fruit flies live for a day and elephants can live for years and years.	2
36	Because fruit flies live for a day and elephants can live for years.	2
37	Because fruit flies live for about one day and elephants can live for many years.	2
38	Because fruit flies only reproduce 36 time a year while elephants only reproduce only one every five years.	2
39	Because fruit flies reproduce 36 times a year	2
40	because fruit flies reproduce 36 times a year while elephant reproduce once every year so i think fruit flies evolve a lot faster cause they reproduce 36 times a year.	2
41	because if there more of the population it can evolve faster	2
42	because if they reproduce 36 times a year they would evolve faster.	2
43	Because it reproduce 36 times a year which is more than once every 5 years.	2
44	because it takes a longer process which would give it more time to evolve.	2
45	because it will have more time me to change	2
46	Because it will share their traits into their offspring.	2
47	Because of how septet it is	2
48	Because of the amount breeding of the fruit fly, they have more chances of evolving.	2
49	Because since the fruit flies reproduce more, they have more chances to gain new traits from their surroundings.	2
50	Because slight evolution occurs in every generation of a species.	2
51	because the elelphant is bigger	2
52	Because the elephant are bigger than the fruit flies.	2
53	because the elephants get bigger every 5 years	2
54	because the flies are smaller and have a greater chance of finding a mate and reproduceing.	2
55	Because the fruit flies reproduce 36 times a year over 5 times a year (elephants)	2
56	because the fruit flies would reproduce every 36 times a year and the elephant would only reproduce every 5 years and the less elephants the less there are to evolve faster.	2
57	BECAUSE THE FRUIT FLIS ARE INSECTS BUT ELEPHANTS ARENT INSECTS BECAUSE THEIR HUGE SIEZE.	2
58	because the fruit fly reproduces 36 times a year and the elaphant only once every 5 years so i think the fruit fly will evolve faster.	2
59	because the have more a better chance of a evolving	2
60	because the more they make the more there is	2
61	Because the only reproduce every 5 years	2
62	because the organism is smaller and takes less time to change.	2
63	because the reproduce about 36 times a year	2
64	Because their are less baby .	2
65	because their little and evolve fatser	2
66	because there are more of them	2
67	because there bigger flies only live for a day	2
68	because there smaller and will become big	2
69	because they are bigger and they dont die as fast as friut flies so they will proble live longer	2
70	because they are small	2
